X,738_cm,693_cm,582_cm,566_cm,532_cm,382_cm,283_cm,233_cm,213_cm,187_cm,153_cm,40_cm,3_cm,Sum,taxonomy,a,b,c,d
a5684c9c2a7c8825a6e94a1e0a86a1a9,0,0,0,69,290,753,125,0,0,0,0,0,0,2259,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
3bad6b5db653b6930282ccbb5d9aaa65,82,198,114,307,86,145,354,287,111,59,42,207,52,2194,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
d0538c01938f17a5773ad96c729837e8,646,314,273,169,278,173,152,0,0,0,0,0,0,2187,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
9c7e9651648936729e211dd178bdd3f8,209,195,225,92,236,146,53,143,283,227,44,53,0,2014,Hydrogenedentes,Candidatus Hydrogenedens,,,
27082c9f001ef6e95223c1ccc1443ced,0,10,12,0,0,0,0,0,8,17,0,262,1660,1969,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Alterococcus
299c1b3eb9cdf217d48802134f087ebe,0,0,131,0,0,0,0,0,0,56,62,48,1523,1820,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile
6bb9e5f5741fc61c17ee1c68a7c3e3e0,0,0,136,246,148,355,132,192,0,75,0,0,0,1811,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ornatilinea
cd8a2faf6af5bdcd5c30314a2a8aca59,733,162,77,112,82,266,83,0,0,68,0,0,0,1752,Actinobacteria,Nitriliruptoria,Egibacterales,Egibacteraceae,Egibacter
0ca76ad5259013661fb0b851a437182f,0,5,12,0,6,1111,401,150,0,16,0,0,0,1729,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
aeecdd7ad84b6f0ae7a5e3f132b819fb,47,245,13,0,97,437,187,0,363,0,0,0,0,1638,Planctomycetes,Planctomycetacia,Planctomycetales,Isosphaeraceae,Paludisphaera
b54ce41c71d6e5dca540bd0030d06938,299,147,0,0,0,313,226,250,67,52,55,49,0,1572,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea
5045d5c43e33fceb7d0f87f41d683da1,0,0,0,0,0,137,573,209,329,0,0,0,0,1408,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Calderihabitans
30b67145d65677d110d6bd9f2285b75f,0,18,101,0,147,44,236,195,169,144,47,231,0,1396,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides
80588214837a17175e5273ada4d1f53b,0,0,0,0,84,84,0,0,0,124,0,615,464,1371,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella
5a72bc75f1765497210366941177a9e4,0,11,0,0,0,0,0,14,0,9,10,421,893,1358,Aminicenantes,Saccharicenantaceae,Saccharicenans,,
3d0b48a067614ca6064c94eb84ad0762,0,6,229,47,69,149,82,273,185,112,0,0,0,1298,Chloroflexi,Thermoflexia,Thermoflexales,Thermoflexaceae,Thermoflexus
7da59bc4d1fda84e0b12e84407897bab,0,0,0,0,0,0,0,0,0,0,42,83,1163,1288,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Algorimarina
1ccfb35b388c57334215a798e1cb405d,860,151,0,0,39,73,28,23,0,0,0,0,0,1261,Firmicutes,Clostridia,Thermosediminibacterales,Tepidanaerobacteraceae,Biomaibacter
26c502699fc9a6762bf809581d1e128e,59,58,0,0,0,1,384,465,43,121,0,0,0,1232,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ornatilinea
83cdc0de2bcde742ce62be3918d5b291,114,172,22,36,41,136,192,154,58,40,25,174,0,1222,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
9f421e5c19950415d901cd81cac4338f,0,0,151,110,156,155,181,100,78,103,0,0,0,1185,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ornatilinea
a41af3846382acc94d2d246950aa9593,0,10,46,41,85,168,12,70,197,172,36,278,14,1157,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides
a28de2955bec23ddd29fcc957012e9e1,0,0,105,147,115,270,123,81,0,0,0,0,0,1083,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
06e59780b188a8abe5b254e4c689b975,37,60,128,76,148,72,0,58,72,83,27,83,157,1082,Planctomycetes,Planctomycetacia,Pirellulales,Thermoguttaceae,Thermostilla
4d41d9762343adc8f263b93fcc3c3fd4,0,114,0,0,0,388,248,32,22,24,0,0,0,1075,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea
00422153cf4614f34d278c71d4b31cd8,0,40,62,34,65,12,164,155,209,117,53,15,0,926,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
633a7c565f2cd567e10976e817ff1c35,0,0,173,204,112,138,102,68,0,73,15,0,0,925,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
670e08a9f20c75a34b27f21414cfc568,0,48,240,0,69,11,14,0,339,164,0,0,0,904,Planctomycetes,Planctomycetacia,Pirellulales,Thermoguttaceae,Thermostilla
01c17da72305fcab0a5418ecf93bd5d6,9,0,89,61,89,93,42,94,180,96,30,47,18,903,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
90cc31009f91b2502a9632cdfeb6f183,0,0,0,0,0,256,351,198,0,0,0,0,0,902,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Calderihabitans
b2349e698d81f086987c4722a12014c5,0,77,211,278,87,0,0,0,218,17,9,0,0,897,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
d3a30ef280bc23e3307620da2a607d9f,0,0,118,99,0,0,0,16,140,44,0,181,285,883,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Lawsonibacter
dea1a93beed11dfd15d02c6211040127,0,0,144,130,35,0,388,42,0,16,0,0,0,872,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides
1a2c3db5e32ab7f9f36325c6cf5dbda9,0,330,0,0,8,86,129,90,45,31,0,112,0,853,Acidobacteria,Acidobacteria_Gp13,Gp13,,
b283486d038dbd3f5e2f254f2362aafd,132,139,46,32,54,54,52,73,56,48,25,36,26,841,Armatimonadetes,Armatimonadetes_gp2,,,
f12b7db57d238998eb000d9a427aa83e,840,0,0,0,0,0,0,0,0,0,0,0,0,840,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminomonas
4f8e574a77c9751ffe7af61b14bda983,0,0,0,0,0,359,179,130,0,0,0,0,0,829,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
c459a4c7e008c5c6c7a3dd0018d3f172,0,0,0,0,0,39,112,163,137,153,0,187,0,818,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea
4328a9fe8f8b956b271e2938264478bf,0,0,25,139,59,122,162,60,48,86,18,0,0,814,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermocladium
2fba7a17b3f9c68a45d4b56b03aa1191,32,0,99,98,28,20,123,17,33,14,0,236,95,806,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus
34f9eabc7dab30bdbc29b85020f19d47,0,46,106,126,115,40,66,86,59,29,0,60,0,805,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Marispirochaeta
e404ec69e8690e608841548cc4f719b6,245,0,28,22,5,0,0,0,7,0,63,291,137,798,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio
2335b001cbedcaeae2c73f8d7d017050,0,0,0,0,0,0,0,0,0,0,0,0,764,764,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofaba
73ebf9c43d9bac83ac41f7ad02df04c0,0,0,21,0,0,0,28,40,64,353,5,241,0,759,Proteobacteria,Deltaproteobacteria,Syntrophorhabdaceae,Syntrophorhabdus,
4312a0a6635280ef0d0f93a477ca2101,24,175,224,44,110,0,17,24,0,77,20,0,0,750,Firmicutes,Clostridia,Thermosediminibacterales,Thermosediminibacteraceae,Fervidicola
0c0ede483846c64db821a09724a19064,27,41,25,46,39,72,184,91,0,51,0,118,0,732,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalogenimonas
0fd3c8dc960e0e8be62a9439d256c158,7,10,188,110,158,0,0,30,124,0,0,51,0,708,Firmicutes,Clostridia,Thermosediminibacterales,Thermosediminibacteraceae,Caldanaerovirga
d933012fb2f42cf2eb68746f76295d43,0,66,51,81,0,91,128,70,59,31,15,19,0,705,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea
788193d5fb2fe5e89145fabb1dc67355,0,0,114,42,113,46,138,82,0,0,0,0,0,690,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Breznakibacter
51e7672667d845b78d1625bfbea0c4af,142,161,70,15,11,37,45,26,27,43,5,87,0,678,Deferribacteres,Deferribacteres,Deferribacterales,Calditrichaceae,Calorithrix
4650c7ca04968fa17b759aff203f73bf,0,98,97,81,0,167,60,74,51,0,19,0,0,674,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Hydrogenispora
518588dbe29ba7d86c8fd1003d3150f4,47,29,23,15,21,28,101,29,28,29,0,213,35,642,Acidobacteria,Acidobacteria_Gp18,Gp18,,
1115d63d53fcab96aacab9b2fca017c6,312,118,0,0,55,71,20,0,20,0,0,9,0,636,Planctomycetes,Planctomycetacia,Pirellulales,Thermoguttaceae,Thermogutta
89c77bd2d0c4f84737eadd2c7b80cd06,14,351,37,3,17,13,0,0,9,12,8,131,37,632,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Breznakibacter
1d98ac7b598f00b4dce60ae98f45a4a8,0,0,24,0,0,0,51,48,32,13,0,297,150,615,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea
218981f91a4cb1c300a91718a4770a02,0,66,0,16,0,29,0,0,0,0,0,0,0,613,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfovirgula
ca7b86ee1b62f16ecc0d1ff5300810f2,15,0,60,201,0,58,59,54,23,18,9,86,0,596,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
c6b2da711522f03e87e383afea527955,16,49,79,60,57,22,39,65,26,45,10,86,10,595,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Natronoflexus
288c5fc6cc923e517b0275995a3c3b0e,220,123,0,0,16,54,25,34,15,28,0,50,0,591,Planctomycetes,Planctomycetacia,Pirellulales,Lacipirellulaceae,Lacipirellula
51f6db89371d50e9a0420fb1f2aac3f9,0,11,18,63,84,94,108,72,39,36,5,0,0,587,Firmicutes,Clostridia,Clostridiales,Peptococcaceae 1,Desulfitibacter
a8bf4d98e3438ae8e53f923817b56c35,0,16,41,68,56,100,119,46,25,10,0,15,0,585,Acidobacteria,Acidobacteria_Gp12,Gp12,,
672464c414d9fa5070e3b207fa415933,0,0,6,29,0,90,154,62,0,116,63,0,0,581,Firmicutes,Clostridia,Clostridiales,Peptococcaceae 2,Cryptanaerobacter
30ffac0a27f6e7e0498f017e5ea7aecf,0,104,34,24,0,37,53,147,58,32,16,57,0,578,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea
7ba3dcbbffeeef1e1528cd08c45ae89f,122,84,21,30,37,58,17,29,12,31,23,64,33,570,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Marispirochaeta
90118d040eb666c51869333c882af0f3,0,16,11,0,19,81,90,94,47,0,0,49,127,565,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Salibacter
b7f1f4cc74ed2d9c506a2f7db406f359,141,0,0,0,19,36,0,0,0,49,0,0,0,560,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
359ae341ac447ef4d190ae4776a1c3a9,130,153,117,44,71,34,0,0,0,0,0,0,0,549,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea
f97a73599210558c13bf1f5736f9878d,253,0,0,0,105,52,0,21,15,31,0,33,3,546,Planctomycetes,Planctomycetacia,Pirellulales,Thermoguttaceae,Thermostilla
2341191ff8f99b5dbb6bf76c467e433a,96,60,72,38,58,36,15,17,26,24,0,57,0,526,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Rectinema
ef55c261f3c1fb8f9ed6dca961d1edb9,366,122,0,0,0,0,13,0,0,0,0,17,0,522,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa
4a2bf1bd556f713fe11d14567243a961,12,29,16,65,127,46,75,36,29,13,15,26,0,512,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerobacterium
c194d7487863541eae2b6ebffd3a4efc,55,37,48,40,66,58,33,0,46,37,9,70,0,499,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea
2fde6130802836a1d0e63976721fd4c8,0,19,104,95,30,0,0,0,40,17,0,144,0,494,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Marispirochaeta
f59ef84e47d84f4614595f7d403a898c,42,0,0,0,0,140,197,0,41,13,15,35,0,483,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermanaerothrix
941a66f0e5045eb48e6561f3d59c6659,0,0,0,0,0,0,84,0,15,0,0,303,80,482,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Lutispora
87384a44dc69c6c1b2ecfcf9d92b9187,0,0,0,0,0,0,0,0,0,0,0,0,474,474,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
e79bc1e463e579f62453b24354dc0f16,0,0,32,16,44,83,56,73,49,43,32,0,0,473,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio
423c28c1e4cf7ac2b2aae90708cdb1c1,10,0,19,45,14,5,97,55,26,27,16,151,0,465,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
086b7551b529be23d8aadc07c1f454c6,26,4,0,0,0,0,0,0,0,0,0,21,409,460,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus
9fc5f64ac370b62e4c77582b245f27f0,0,0,0,0,0,0,171,108,55,66,0,48,0,448,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides
365019e7eb46caed34d251366260bac3,0,0,16,0,0,0,18,0,0,0,0,0,408,442,Acidobacteria,Blastocatellia,Blastocatellales,Pyrinomonadaceae,Pyrinomonas
767b37623ee846c4dde958f523055b00,0,118,2,0,0,0,0,2,0,19,14,282,0,437,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geothermobacter
d3fd240e1c6a148e95a2dfde6217cfbe,8,16,6,0,5,0,0,4,12,34,17,268,65,435,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Marispirochaeta
802be97c263cd412c4d2d9fcc024fa7d,0,0,41,40,0,43,96,72,29,19,4,0,0,434,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermanaerothrix
f5c41f65bbb9fe65c739da6c5a1a6a89,0,0,16,42,25,45,27,25,47,11,0,126,50,432,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Geofilum
ec08bf94d18b3fd0c54fa541d9c6f51a,19,27,31,39,15,8,38,13,49,23,8,53,108,431,Firmicutes,Clostridia,Clostridiales,Peptococcaceae 2,Desulfocucumis
67039034e84383ab8cf6c2b2ec7c189f,0,0,0,0,0,0,0,0,0,0,0,0,426,426,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
d1f685aafb715094a31b771caf30e74b,325,23,0,0,0,0,0,0,0,0,7,70,0,425,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
66ad15e12dca26e1a50d10486d0fffe3,0,0,9,39,7,52,139,71,30,8,1,0,0,413,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
9de5c73ce10f8d79716f44d34101a1e5,0,83,0,0,0,0,77,69,0,0,0,0,0,412,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Phorcysia
a89a2659cdb65aac3844e1f116e9e789,56,40,0,0,24,39,0,39,80,63,0,0,0,391,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
a0dc61ccdd04621365de40eb14b31a0e,5,0,0,11,0,24,223,30,0,0,7,46,9,385,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum
07c9b809d1ae139823f8acc4eff68699,0,0,0,0,0,0,0,0,0,0,0,0,384,384,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea
2b62356ed22e90b9a4b99a9acc66baa3,53,0,0,20,0,0,20,21,0,38,0,231,0,383,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea
701c34f416ec026489c070c8e8c1fcc7,43,0,20,10,30,49,66,54,31,29,0,0,0,374,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus
33ce6b5d43f35dd08f2143282f75e20d,0,66,0,0,0,0,52,53,59,62,0,78,0,370,Firmicutes,Clostridia,Clostridiales,Catabacteriaceae,Catabacter
6660be27132b2bea1cf39c0e44504b28,0,21,106,0,0,0,0,0,9,174,0,54,0,364,Planctomycetes,Planctomycetacia,Planctomycetales,Isosphaeraceae,Paludisphaera
9fcf1feab65545c124b7758c8422972d,0,0,0,0,0,64,108,155,0,35,0,0,0,362,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Levilinea
14e174cafc85f57345bdb1751d6427b1,0,45,39,111,49,9,11,13,18,0,0,47,0,361,Acidobacteria,Acidobacteria_Gp3,Gp3,,
74492b9e371a9ad8f171eb1a39e8638b,9,7,25,3,0,19,0,0,52,71,7,116,43,352,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Melioribacter
db0d6a940b4705cb47d6c009dd2fceea,0,10,15,28,0,88,32,94,50,26,5,0,0,352,Firmicutes,Clostridia,Natranaerobiales,Natranaerobiaceae,Dethiobacter
